Plant ID,Plant name,Country/Area,Status,year,is_operating
P100000120194,Changshu Longteng Special Steel Co Ltd,China,retired,2026,True
P100000120194,Changshu Longteng Special Steel Co Ltd,China,retired,2027,True
P100000120194,Changshu Longteng Special Steel Co Ltd,China,retired,2028,True
P100000120194,Changshu Longteng Special Steel Co Ltd,China,retired,2029,True
P100000120194,Changshu Longteng Special Steel Co Ltd,China,retired,2030,True
P100000120265,Changzhi Xingbao Steel Co Ltd,China,operating,2020,True
P100000120265,Changzhi Xingbao Steel Co Ltd,China,operating,2021,True
P100000120265,Changzhi Xingbao Steel Co Ltd,China,operating,2022,True
P100000120265,Changzhi Xingbao Steel Co Ltd,China,operating,2023,True
P100000120265,Changzhi Xingbao Steel Co Ltd,China,operating,2024,True
P100000120265,Changzhi Xingbao Steel Co Ltd,China,operating,2025,True
P100000120265,Changzhi Xingbao Steel Co Ltd,China,operating,2026,True
P100000120265,Changzhi Xingbao Steel Co Ltd,China,operating,2027,True
P100000120265,Changzhi Xingbao Steel Co Ltd,China,operating,2028,True
P100000120265,Changzhi Xingbao Steel Co Ltd,China,operating,2029,True
P100000120265,Changzhi Xingbao Steel Co Ltd,China,operating,2030,True
P100000120201,Changzhou Eastern Special Steel Co Ltd,China,operating,2020,True
P100000120201,Changzhou Eastern Special Steel Co Ltd,China,operating,2021,True
P100000120201,Changzhou Eastern Special Steel Co Ltd,China,operating,2022,True
P100000120201,Changzhou Eastern Special Steel Co Ltd,China,operating,2023,True
P100000120201,Changzhou Eastern Special Steel Co Ltd,China,operating,2024,True
P100000120201,Changzhou Eastern Special Steel Co Ltd,China,operating,2025,True
P100000120201,Changzhou Eastern Special Steel Co Ltd,China,operating,2026,True
P100000120201,Changzhou Eastern Special Steel Co Ltd,China,operating,2027,True
P100000120201,Changzhou Eastern Special Steel Co Ltd,China,operating,2028,True
